Pokedex Number,Pokemon Id,Pokemon Name,Classification,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type
182,67,"""Bellossom""","""Flower Pokémon""",NULL,NULL,0.4,5.8,"""Grass""",NULL
183,283,"""Marill""","""Aqua Mouse Pokémon""",NULL,NULL,0.4,8.5,"""Water""","""Fairy"""
184,284,"""Azumarill""","""Aqua Rabbit Pokémon""",NULL,NULL,0.8,28.5,"""Water""","""Fairy"""
185,285,"""Sudowoodo""","""Imitation Pokémon""",NULL,NULL,1.2,38,"""Rock""",NULL
186,286,"""Politoed""","""Frog Pokémon""",NULL,NULL,1.1,33.9,"""Water""",NULL
187,287,"""Hoppip""","""Cottonweed Pokémon""",NULL,NULL,0.4,0.5,"""Grass""","""Flying"""
188,288,"""Skiploom""","""Cottonweed Pokémon""",NULL,NULL,0.6,1,"""Grass""","""Flying"""
189,289,"""Jumpluff""","""Cottonweed Pokémon""",NULL,NULL,0.8,3,"""Grass""","""Flying"""
190,290,"""Aipom""","""Long Tail Pokémon""",NULL,NULL,0.8,11.5,"""Normal""",NULL
191,291,"""Sunkern""","""Seed Pokémon""",NULL,NULL,0.3,1.8,"""Grass""",NULL
192,292,"""Sunflora""","""Sun Pokémon""",NULL,NULL,0.8,8.5,"""Grass""",NULL
193,293,"""Yanma""","""Clear Wing Pokémon""",NULL,NULL,1.2,38,"""Bug""","""Flying"""
194,294,"""Wooper""","""Water Fish Pokémon""",NULL,NULL,0.4,8.5,"""Water""","""Ground"""
194,1654,"""Wooper""","""Poison Fish Pokémon""","""Paldea""",NULL,0.4,11,"""Poison""","""Ground"""
195,295,"""Quagsire""","""Water Fish Pokémon""",NULL,NULL,1.4,75,"""Water""","""Ground"""
196,296,"""Espeon""","""Sun Pokémon""",NULL,NULL,0.9,26.5,"""Psychic""",NULL
197,297,"""Umbreon""","""Moonlight Pokémon""",NULL,NULL,1,27,"""Dark""",NULL
198,298,"""Murkrow""","""Darkness Pokémon""",NULL,NULL,0.5,2.1,"""Dark""","""Flying"""
199,299,"""Slowking""","""Royal Pokémon""",NULL,NULL,2,79.5,"""Water""","""Psychic"""
199,1388,"""Slowking""","""Royal Pokémon""","""Galar""",NULL,1.8,79.5,"""Poison""","""Psychic"""
200,324,"""Misdreavus""","""Screech Pokémon""",NULL,NULL,0.7,1,"""Ghost""",NULL
201,325,"""Unown""","""Symbol Pokémon""",NULL,NULL,0.5,5,"""Psychic""",NULL
202,326,"""Wobbuffet""","""Patient Pokémon""",NULL,NULL,1.3,28.5,"""Psychic""",NULL
203,327,"""Girafarig""","""Long Neck Pokémon""",NULL,NULL,1.5,41.5,"""Normal""","""Psychic"""
204,328,"""Pineco""","""Bagworm Pokémon""",NULL,NULL,0.6,7.2,"""Bug""",NULL
205,329,"""Forretress""","""Bagworm Pokémon""",NULL,NULL,1.2,125.8,"""Bug""","""Steel"""
206,330,"""Dunsparce""","""Land Snake Pokémon""",NULL,NULL,1.5,14,"""Normal""",NULL
207,331,"""Gligar""","""Fly Scorpion Pokémon""",NULL,NULL,1.1,64.8,"""Ground""","""Flying"""
208,332,"""Steelix""","""Iron Snake Pokémon""",NULL,NULL,9.2,400,"""Steel""","""Ground"""
208,1383,"""Steelix""","""Iron Snake Pokémon""","""Mega""",NULL,10.5,740,"""Steel""","""Ground"""
209,333,"""Snubbull""","""Fairy Pokémon""",NULL,NULL,0.6,7.8,"""Fairy""",NULL
210,334,"""Granbull""","""Fairy Pokémon""",NULL,NULL,1.4,48.7,"""Fairy""",NULL
211,335,"""Qwilfish""","""Balloon Pokémon""",NULL,NULL,0.5,3.9,"""Water""","""Poison"""
211,1625,"""Qwilfish""","""Balloon Pokémon""","""Hisui""",NULL,0.5,3.9,"""Dark""","""Poison"""
212,1384,"""Scizor""","""Pincer Pokémon""","""Mega""",NULL,2,125,"""Bug""","""Steel"""
212,336,"""Scizor""","""Pincer Pokémon""",NULL,NULL,1.8,118,"""Bug""","""Steel"""
213,337,"""Shuckle""","""Mold Pokémon""",NULL,NULL,0.6,20.5,"""Bug""","""Rock"""
214,338,"""Heracross""","""Single Horn Pokémon""",NULL,NULL,1.5,54,"""Bug""","""Fighting"""
214,1395,"""Heracross""","""Abundance Pokémon""","""Mega""",NULL,1.7,62.5,"""Bug""","""Fighting"""
215,1630,"""Sneasel""","""Sharp Claw Pokémon""","""Hisui""",NULL,0.9,27,"""Fighting""","""Poison"""
215,339,"""Sneasel""","""Sharp Claw Pokémon""",NULL,NULL,0.9,28,"""Dark""","""Ice"""
216,340,"""Teddiursa""","""Little Bear Pokémon""",NULL,NULL,0.6,8.8,"""Normal""",NULL
217,341,"""Ursaring""","""Hibernator Pokémon""",NULL,NULL,1.8,125.8,"""Normal""",NULL
218,342,"""Slugma""","""Lava Pokémon""",NULL,NULL,0.7,35,"""Fire""",NULL
219,343,"""Magcargo""","""Lava Pokémon""",NULL,NULL,0.8,55,"""Fire""","""Rock"""
220,344,"""Swinub""","""Pig Pokémon""",NULL,NULL,0.4,6.5,"""Ice""","""Ground"""
221,345,"""Piloswine""","""Swine Pokémon""",NULL,NULL,1.1,55.8,"""Ice""","""Ground"""
222,346,"""Corsola""","""Coral Pokémon""",NULL,NULL,0.6,5,"""Water""","""Rock"""
222,1389,"""Corsola""","""Coral Pokémon""","""Galar""",NULL,0.6,0.5,"""Ghost""",NULL
223,347,"""Remoraid""","""Jet Pokémon""",NULL,NULL,0.6,12,"""Water""",NULL
224,348,"""Octillery""","""Jet Pokémon""",NULL,NULL,0.9,28.5,"""Water""",NULL
225,349,"""Delibird""","""Delivery Pokémon""",NULL,NULL,0.9,16,"""Ice""","""Flying"""
226,350,"""Mantine""","""Kite Pokémon""",NULL,NULL,2.1,220,"""Water""","""Flying"""
227,351,"""Skarmory""","""Armor Bird Pokémon""",NULL,NULL,1.7,50.5,"""Steel""","""Flying"""
228,352,"""Houndour""","""Dark Pokémon""",NULL,NULL,0.6,10.8,"""Dark""","""Fire"""
229,353,"""Houndoom""","""Dark Pokémon""",NULL,NULL,1.4,35,"""Dark""","""Fire"""
229,1396,"""Houndoom""","""Dark Pokémon""","""Mega""",NULL,1.9,49.5,"""Dark""","""Fire"""
230,354,"""Kingdra""","""Dragon Pokémon""",NULL,NULL,1.8,152,"""Water""","""Dragon"""
231,355,"""Phanpy""","""Long Nose Pokémon""",NULL,NULL,0.5,33.5,"""Ground""",NULL
232,356,"""Donphan""","""Armor Pokémon""",NULL,NULL,1.1,120,"""Ground""",NULL
233,357,"""Porygon2""","""Virtual Pokémon""",NULL,NULL,0.6,32.5,"""Normal""",NULL
234,358,"""Stantler""","""Big Horn Pokémon""",NULL,NULL,1.4,71.2,"""Normal""",NULL
235,359,"""Smeargle""","""Painter Pokémon""",NULL,NULL,1.2,58,"""Normal""",NULL
236,360,"""Tyrogue""","""Scuffle Pokémon""",NULL,NULL,0.7,21,"""Fighting""",NULL
237,361,"""Hitmontop""","""Handstand Pokémon""",NULL,NULL,1.4,48,"""Fighting""",NULL
238,362,"""Smoochum""","""Kiss Pokémon""",NULL,NULL,0.4,6,"""Ice""","""Psychic"""
239,363,"""Elekid""","""Electric Pokémon""",NULL,NULL,0.6,23.5,"""Electric""",NULL
240,364,"""Magby""","""Live Coal Pokémon""",NULL,NULL,0.7,21.4,"""Fire""",NULL
241,365,"""Miltank""","""Milk Cow Pokémon""",NULL,NULL,1.2,75.5,"""Normal""",NULL
242,366,"""Blissey""","""Happiness Pokémon""",NULL,NULL,1.5,46.8,"""Normal""",NULL
243,367,"""Raikou""","""Thunder Pokémon""",NULL,"""Sub-Legendary""",1.9,178,"""Electric""",NULL
244,368,"""Entei""","""Volcano Pokémon""",NULL,"""Sub-Legendary""",2.1,198,"""Fire""",NULL
245,369,"""Suicune""","""Aurora Pokémon""",NULL,"""Sub-Legendary""",2,187,"""Water""",NULL
246,370,"""Larvitar""","""Rock Skin Pokémon""",NULL,NULL,0.6,72,"""Rock""","""Ground"""
247,371,"""Pupitar""","""Hard Shell Pokémon""",NULL,NULL,1.2,152,"""Rock""","""Ground"""
248,372,"""Tyranitar""","""Armor Pokémon""",NULL,NULL,2,202,"""Rock""","""Dark"""
248,1397,"""Tyranitar""","""Armor Bird Pokémon""","""Mega""",NULL,2.5,255,"""Rock""","""Dark"""
249,373,"""Lugia""","""Diving Pokémon""",NULL,"""Legendary""",5.2,216,"""Psychic""","""Flying"""
250,374,"""Ho-Oh""","""Rainbow Pokémon""",NULL,"""Legendary""",3.8,199,"""Fire""","""Flying"""
251,375,"""Celebi""","""Time Travel Pokémon""",NULL,"""Mythical""",0.6,5,"""Psychic""","""Grass"""
252,380,"""Treecko""","""Wood Gecko Pokémon""",NULL,NULL,0.5,5,"""Grass""",NULL
253,381,"""Grovyle""","""Wood Gecko Pokémon""",NULL,NULL,0.9,21.6,"""Grass""",NULL
254,382,"""Sceptile""","""Forest Pokémon""",NULL,NULL,1.7,52.2,"""Grass""",NULL
254,1428,"""Sceptile""","""Forest Pokémon""","""Mega""",NULL,1.9,55.2,"""Grass""","""Dragon"""
255,383,"""Torchic""","""Chick Pokémon""",NULL,NULL,0.4,2.5,"""Fire""",NULL
256,384,"""Combusken""","""Young Fowl Pokémon""",NULL,NULL,0.9,19.5,"""Fire""","""Fighting"""
257,385,"""Blaziken""","""Blaze Pokémon""",NULL,NULL,1.9,52,"""Fire""","""Fighting"""
257,1429,"""Blaziken""","""Blaze Pokémon""","""Mega""",NULL,1.9,52,"""Fire""","""Fighting"""
258,386,"""Mudkip""","""Mud Fish Pokémon""",NULL,NULL,0.4,7.6,"""Water""",NULL
259,387,"""Marshtomp""","""Mud Fish Pokémon""",NULL,NULL,0.7,28,"""Water""","""Ground"""
260,388,"""Swampert""","""Mud Fish Pokémon""",NULL,NULL,1.5,81.9,"""Water""","""Ground"""
260,1430,"""Swampert""","""Mud Fish Pokémon""","""Mega""",NULL,1.9,102,"""Water""","""Ground"""
261,389,"""Poochyena""","""Bite Pokémon""",NULL,NULL,0.5,13.6,"""Dark""",NULL
262,390,"""Mightyena""","""Bite Pokémon""",NULL,NULL,1,37,"""Dark""",NULL
263,391,"""Zigzagoon""","""Tiny Raccoon Pokémon""",NULL,NULL,0.4,17.5,"""Normal""",NULL
263,1466,"""Zigzagoon""","""Tiny Raccoon Pokémon""","""Galar""",NULL,0.4,17.5,"""Dark""","""Normal"""
264,1467,"""Linoone""","""Rushing Pokémon""","""Galar""",NULL,0.5,32.5,"""Dark""","""Normal"""
264,392,"""Linoone""","""Rushing Pokémon""",NULL,NULL,0.5,32.5,"""Normal""",NULL
265,393,"""Wurmple""","""Worm Pokémon""",NULL,NULL,0.3,3.6,"""Bug""",NULL
266,394,"""Silcoon""","""Cocoon Pokémon""",NULL,NULL,0.6,10,"""Bug""",NULL
267,395,"""Beautifly""","""Butterfly Pokémon""",NULL,NULL,1,28.4,"""Bug""","""Flying"""
268,396,"""Cascoon""","""Cocoon Pokémon""",NULL,NULL,0.7,11.5,"""Bug""",NULL
269,397,"""Dustox""","""Poison Moth Pokémon""",NULL,NULL,1.2,31.6,"""Bug""","""Poison"""
270,398,"""Lotad""","""Water Weed Pokémon""",NULL,NULL,0.5,2.6,"""Water""","""Grass"""
271,399,"""Lombre""","""Jolly Pokémon""",NULL,NULL,1.2,32.5,"""Water""","""Grass"""
272,400,"""Ludicolo""","""Carefree Pokémon""",NULL,NULL,1.5,55,"""Water""","""Grass"""
273,401,"""Seedot""","""Acorn Pokémon""",NULL,NULL,0.5,4,"""Grass""",NULL
274,402,"""Nuzleaf""","""Wily Pokémon""",NULL,NULL,1,28,"""Grass""","""Dark"""
275,403,"""Shiftry""","""Wicked Pokémon""",NULL,NULL,1.3,59.6,"""Grass""","""Dark"""
276,404,"""Taillow""","""Tiny Swallow Pokémon""",NULL,NULL,0.3,2.3,"""Normal""","""Flying"""
277,405,"""Swellow""","""Swallow Pokémon""",NULL,NULL,0.7,19.8,"""Normal""","""Flying"""
278,406,"""Wingull""","""Seagull Pokémon""",NULL,NULL,0.6,9.5,"""Water""","""Flying"""
279,407,"""Pelipper""","""Water Bird Pokémon""",NULL,NULL,1.2,28,"""Water""","""Flying"""
280,408,"""Ralts""","""Feeling Pokémon""",NULL,NULL,0.4,6.6,"""Psychic""","""Fairy"""
281,409,"""Kirlia""","""Emotion Pokémon""",NULL,NULL,0.8,20.2,"""Psychic""","""Fairy"""
282,410,"""Gardevoir""","""Embrace Pokémon""",NULL,NULL,1.6,48.4,"""Psychic""","""Fairy"""
282,1435,"""Gardevoir""","""Embrace Pokémon""","""Mega""",NULL,1.6,48.4,"""Psychic""","""Fairy"""
283,411,"""Surskit""","""Pond Skater Pokémon""",NULL,NULL,0.5,1.7,"""Bug""","""Water"""
284,412,"""Masquerain""","""Eyeball Pokémon""",NULL,NULL,0.8,3.6,"""Bug""","""Flying"""
285,413,"""Shroomish""","""Mushroom Pokémon""",NULL,NULL,0.4,4.5,"""Grass""",NULL
286,414,"""Breloom""","""Mushroom Pokémon""",NULL,NULL,1.2,39.2,"""Grass""","""Fighting"""
287,415,"""Slakoth""","""Slacker Pokémon""",NULL,NULL,0.8,24,"""Normal""",NULL
288,416,"""Vigoroth""","""Wild Monkey Pokémon""",NULL,NULL,1.4,46.5,"""Normal""",NULL
289,417,"""Slaking""","""Lazy Pokémon""",NULL,NULL,2,130.5,"""Normal""",NULL
290,418,"""Nincada""","""Trainee Pokémon""",NULL,NULL,0.5,5.5,"""Bug""","""Ground"""
291,419,"""Ninjask""","""Ninja Pokémon""",NULL,NULL,0.8,12,"""Bug""","""Flying"""
292,420,"""Shedinja""","""Shed Pokémon""",NULL,NULL,0.8,1.2,"""Bug""","""Ghost"""
293,421,"""Whismur""","""Whisper Pokémon""",NULL,NULL,0.6,16.3,"""Normal""",NULL
294,422,"""Loudred""","""Big Voice Pokémon""",NULL,NULL,1,40.5,"""Normal""",NULL
295,423,"""Exploud""","""Loud Noise Pokémon""",NULL,NULL,1.5,84,"""Normal""",NULL
296,424,"""Makuhita""","""Guts Pokémon""",NULL,NULL,1,86.4,"""Fighting""",NULL
297,425,"""Hariyama""","""Arm Thrust Pokémon""",NULL,NULL,2.3,253.8,"""Fighting""",NULL
298,426,"""Azurill""","""Polka Dot Pokémon""",NULL,NULL,0.2,2,"""Normal""","""Fairy"""
299,427,"""Nosepass""","""Compass Pokémon""",NULL,NULL,1,97,"""Rock""",NULL
300,428,"""Skitty""","""Kitten Pokémon""",NULL,NULL,0.6,11,"""Normal""",NULL
301,429,"""Delcatty""","""Prim Pokémon""",NULL,NULL,1.1,32.6,"""Normal""",NULL
302,430,"""Sableye""","""Darkness Pokémon""",NULL,NULL,0.5,11,"""Dark""","""Ghost"""
302,1558,"""Sableye""","""Darkness Pokémon""","""Mega""",NULL,0.5,161,"""Dark""","""Ghost"""
303,1559,"""Mawile""","""Deceiver Pokémon""","""Mega""",NULL,1,23.5,"""Steel""","""Fairy"""
303,431,"""Mawile""","""Deceiver Pokémon""",NULL,NULL,0.6,11.5,"""Steel""","""Fairy"""
304,432,"""Aron""","""Iron Armor Pokémon""",NULL,NULL,0.4,60,"""Steel""","""Rock"""
305,433,"""Lairon""","""Iron Armor Pokémon""",NULL,NULL,0.9,120,"""Steel""","""Rock"""
306,434,"""Aggron""","""Iron Armor Pokémon""",NULL,NULL,2.1,360,"""Steel""","""Rock"""
306,1434,"""Aggron""","""Iron Armor Pokémon""","""Mega""",NULL,2.2,395,"""Steel""",NULL
307,435,"""Meditite""","""Meditate Pokémon""",NULL,NULL,0.6,11.2,"""Fighting""","""Psychic"""
308,436,"""Medicham""","""Meditate Pokémon""",NULL,NULL,1.3,31.5,"""Fighting""","""Psychic"""
308,1590,"""Medicham""","""Meditate Pokémon""","""Mega""",NULL,1.3,31.5,"""Fighting""","""Psychic"""
309,437,"""Electrike""","""Lightning Pokémon""",NULL,NULL,0.6,15.2,"""Electric""",NULL
310,438,"""Manectric""","""Discharge Pokémon""",NULL,NULL,1.5,40.2,"""Electric""",NULL
310,1437,"""Manectric""","""Discharge Pokémon""","""Mega""",NULL,1.8,44,"""Electric""",NULL
311,439,"""Plusle""","""Cheering Pokémon""",NULL,NULL,0.4,4.2,"""Electric""",NULL
312,440,"""Minun""","""Cheering Pokémon""",NULL,NULL,0.4,4.2,"""Electric""",NULL
313,441,"""Volbeat""","""Firefly Pokémon""",NULL,NULL,0.7,17.7,"""Bug""",NULL
314,442,"""Illumise""","""Firefly Pokémon""",NULL,NULL,0.6,17.7,"""Bug""",NULL
315,443,"""Roselia""","""Thorn Pokémon""",NULL,NULL,0.3,2,"""Grass""","""Poison"""
316,444,"""Gulpin""","""Stomach Pokémon""",NULL,NULL,0.4,10.3,"""Poison""",NULL
317,445,"""Swalot""","""Poison Bag Pokémon""",NULL,NULL,1.7,80,"""Poison""",NULL
318,446,"""Carvanha""","""Savage Pokémon""",NULL,NULL,0.8,20.8,"""Water""","""Dark"""
319,447,"""Sharpedo""","""Brutal Pokémon""",NULL,NULL,1.8,88.8,"""Water""","""Dark"""
319,1587,"""Sharpedo""","""Brutal Pokémon""","""Mega""",NULL,2.5,130.3,"""Water""","""Dark"""
320,448,"""Wailmer""","""Ball Whale Pokémon""",NULL,NULL,2,130,"""Water""",NULL
321,449,"""Wailord""","""Float Whale Pokémon""",NULL,NULL,14.5,398,"""Water""",NULL
322,450,"""Numel""","""Numb Pokémon""",NULL,NULL,0.7,24,"""Fire""","""Ground"""
323,451,"""Camerupt""","""Eruption Pokémon""",NULL,NULL,1.9,220,"""Fire""","""Ground"""
323,1588,"""Camerupt""","""Eruption Pokémon""","""Mega""",NULL,2.5,320.5,"""Fire""","""Ground"""
324,452,"""Torkoal""","""Coal Pokémon""",NULL,NULL,0.5,80.4,"""Fire""",NULL
325,453,"""Spoink""","""Bounce Pokémon""",NULL,NULL,0.7,30.6,"""Psychic""",NULL
326,454,"""Grumpig""","""Manipulate Pokémon""",NULL,NULL,0.9,71.5,"""Psychic""",NULL
327,455,"""Spinda""","""Spot Panda Pokémon""",NULL,NULL,1.1,5,"""Normal""",NULL
328,456,"""Trapinch""","""Ant Pit Pokémon""",NULL,NULL,0.7,15,"""Ground""",NULL
329,457,"""Vibrava""","""Vibration Pokémon""",NULL,NULL,1.1,15.3,"""Ground""","""Dragon"""
330,458,"""Flygon""","""Mystic Pokémon""",NULL,NULL,2,82,"""Ground""","""Dragon"""
331,459,"""Cacnea""","""Cactus Pokémon""",NULL,NULL,0.4,51.3,"""Grass""",NULL
332,460,"""Cacturne""","""Scarecrow Pokémon""",NULL,NULL,1.3,77.4,"""Grass""","""Dark"""
333,461,"""Swablu""","""Cotton Bird Pokémon""",NULL,NULL,0.4,1.2,"""Normal""","""Flying"""
334,462,"""Altaria""","""Humming Pokémon""",NULL,NULL,1.1,20.6,"""Dragon""","""Flying"""
334,1589,"""Altaria""","""Humming Pokémon""","""Mega""",NULL,1.5,20.6,"""Dragon""","""Fairy"""
335,463,"""Zangoose""","""Cat Ferret Pokémon""",NULL,NULL,1.3,40.3,"""Normal""",NULL
336,464,"""Seviper""","""Fang Snake Pokémon""",NULL,NULL,2.7,52.5,"""Poison""",NULL
337,465,"""Lunatone""","""Meteorite Pokémon""",NULL,NULL,1,168,"""Rock""","""Psychic"""
338,466,"""Solrock""","""Meteorite Pokémon""",NULL,NULL,1.2,154,"""Rock""","""Psychic"""
339,467,"""Barboach""","""Whiskers Pokémon""",NULL,NULL,0.4,1.9,"""Water""","""Ground"""
340,468,"""Whiscash""","""Whiskers Pokémon""",NULL,NULL,0.9,23.6,"""Water""","""Ground"""
341,469,"""Corphish""","""Ruffian Pokémon""",NULL,NULL,0.6,11.5,"""Water""",NULL
342,470,"""Crawdaunt""","""Rogue Pokémon""",NULL,NULL,1.1,32.8,"""Water""","""Dark"""
343,471,"""Baltoy""","""Clay Doll Pokémon""",NULL,NULL,0.5,21.5,"""Ground""","""Psychic"""
344,472,"""Claydol""","""Clay Doll Pokémon""",NULL,NULL,1.5,107.9,"""Ground""","""Psychic"""
345,473,"""Lileep""","""Sea Lily Pokémon""",NULL,NULL,1,23.8,"""Rock""","""Grass"""
346,474,"""Cradily""","""Barnacle Pokémon""",NULL,NULL,1.5,60.4,"""Rock""","""Grass"""
347,475,"""Anorith""","""Old Shrimp Pokémon""",NULL,NULL,0.7,12.5,"""Rock""","""Bug"""
348,476,"""Armaldo""","""Plate Pokémon""",NULL,NULL,1.5,68.2,"""Rock""","""Bug"""
349,477,"""Feebas""","""Fish Pokémon""",NULL,NULL,0.6,7.4,"""Water""",NULL
350,478,"""Milotic""","""Tender Pokémon""",NULL,NULL,6.2,162,"""Water""",NULL
350,478,"""Milotic""","""Tender Pokémon""",NULL,NULL,6.2,162,"""Water""",NULL
351,479,"""Castform""","""Weather Pokémon""",NULL,NULL,0.3,0.8,"""Normal""",NULL
351,1565,"""Castform""","""Weather Pokémon""","""Sunny""",NULL,0.3,0.8,"""Fire""",NULL
351,1566,"""Castform""","""Weather Pokémon""","""Rainy""",NULL,0.3,0.8,"""Water""",NULL
351,1567,"""Castform""","""Weather Pokémon""","""Snowy""",NULL,0.3,0.8,"""Ice""",NULL
352,480,"""Kecleon""","""Color Swap Pokémon""",NULL,NULL,1,22,"""Normal""",NULL
353,481,"""Shuppet""","""Puppet Pokémon""",NULL,NULL,0.6,2.3,"""Ghost""",NULL
354,482,"""Banette""","""Marionette Pokémon""",NULL,NULL,1.1,12.5,"""Ghost""",NULL
354,1592,"""Banette""","""Marionette Pokémon""","""Mega""",NULL,1.2,13,"""Ghost""",NULL
355,483,"""Duskull""","""Requiem Pokémon""",NULL,NULL,0.8,15,"""Ghost""",NULL
356,484,"""Dusclops""","""Beckon Pokémon""",NULL,NULL,1.6,30.6,"""Ghost""",NULL
357,485,"""Tropius""","""Fruit Pokémon""",NULL,NULL,2,100,"""Grass""","""Flying"""
358,486,"""Chimecho""","""Wind Chime Pokémon""",NULL,NULL,0.6,1,"""Psychic""",NULL
359,487,"""Absol""","""Disaster Pokémon""",NULL,NULL,1.2,47,"""Dark""",NULL
359,1591,"""Absol""","""Disaster Pokémon""","""Mega""",NULL,1.2,49,"""Dark""",NULL
360,488,"""Wynaut""","""Bright Pokémon""",NULL,NULL,0.6,14,"""Psychic""",NULL
361,489,"""Snorunt""","""Snow Hat Pokémon""",NULL,NULL,0.7,16.8,"""Ice""",NULL
362,490,"""Glalie""","""Face Pokémon""",NULL,NULL,1.5,256.5,"""Ice""",NULL
362,1560,"""Glalie""","""Face Pokémon""","""Mega""",NULL,2.1,350.2,"""Ice""",NULL
363,491,"""Spheal""","""Clap Pokémon""",NULL,NULL,0.8,39.5,"""Ice""","""Water"""
364,492,"""Sealeo""","""Ball Roll Pokémon""",NULL,NULL,1.1,87.6,"""Ice""","""Water"""
365,493,"""Walrein""","""Ice Break Pokémon""",NULL,NULL,1.4,150.6,"""Ice""","""Water"""
366,494,"""Clamperl""","""Bivalve Pokémon""",NULL,NULL,0.4,52.5,"""Water""",NULL
367,495,"""Huntail""","""Deep Sea Pokémon""",NULL,NULL,1.7,27,"""Water""",NULL
368,496,"""Gorebyss""","""South Sea Pokémon""",NULL,NULL,1.8,22.6,"""Water""",NULL
369,497,"""Relicanth""","""Longevity Pokémon""",NULL,NULL,1,23.4,"""Water""","""Rock"""
370,498,"""Luvdisc""","""Rendezvous Pokémon""",NULL,NULL,0.6,8.7,"""Water""",NULL
371,499,"""Bagon""","""Rock Head Pokémon""",NULL,NULL,0.6,42.1,"""Dragon""",NULL
372,500,"""Shelgon""","""Endurance Pokémon""",NULL,NULL,1.1,110.5,"""Dragon""",NULL
373,501,"""Salamence""","""Dragon Pokémon""",NULL,NULL,1.5,102.6,"""Dragon""","""Flying"""
373,1586,"""Salamence""","""Dragon Pokémon""","""Mega""",NULL,1.8,112.6,"""Dragon""","""Flying"""
374,502,"""Beldum""","""Iron Ball Pokémon""",NULL,NULL,0.6,95.2,"""Steel""","""Psychic"""
375,503,"""Metang""","""Iron Claw Pokémon""",NULL,NULL,1.2,202.5,"""Steel""","""Psychic"""
376,504,"""Metagross""","""Iron Leg Pokémon""",NULL,NULL,1.6,550,"""Steel""","""Psychic"""
376,1585,"""Metagross""","""Iron Leg Pokémon""","""Mega""",NULL,2.5,942.9,"""Steel""","""Psychic"""
377,505,"""Regirock""","""Rock Peak Pokémon""",NULL,"""Sub-Legendary""",1.7,230,"""Rock""",NULL
378,506,"""Regice""","""Iceberg Pokémon""",NULL,"""Sub-Legendary""",1.8,175,"""Ice""",NULL
379,507,"""Registeel""","""Iron Pokémon""",NULL,"""Sub-Legendary""",1.9,205,"""Steel""",NULL
380,508,"""Latias""","""Eon Pokémon""",NULL,"""Sub-Legendary""",1.4,40,"""Dragon""","""Psychic"""
380,1400,"""Latias""","""Eon Pokémon""","""Mega""",NULL,1.8,52,"""Dragon""","""Psychic"""
381,1399,"""Latios""","""Eon Pokémon""","""Mega""",NULL,2.3,70,"""Dragon""","""Psychic"""
381,509,"""Latios""","""Eon Pokémon""",NULL,"""Sub-Legendary""",2,60,"""Dragon""","""Psychic"""
382,510,"""Kyogre""","""Sea Basin Pokémon""",NULL,"""Legendary""",4.5,352,"""Water""",NULL
382,1432,"""Kyogre""","""Sea Basin Pokémon""","""Primal""","""Legendary""",9.8,430,"""Water""",NULL
383,1433,"""Groudon""","""Continent Pokémon""","""Primal""","""Legendary""",5,999.7,"""Ground""","""Fire"""
383,511,"""Groudon""","""Continent Pokémon""",NULL,"""Legendary""",3.5,950,"""Ground""",NULL
384,512,"""Rayquaza""","""Sky High Pokémon""",NULL,"""Legendary""",7,206.5,"""Dragon""","""Flying"""
384,1431,"""Rayquaza""","""Sky High Pokémon""","""Mega""","""Legendary""",10.8,392,"""Dragon""","""Flying"""
385,513,"""Jirachi""","""Wish Pokémon""",NULL,"""Mythical""",0.3,1.1,"""Steel""","""Psychic"""
386,514,"""Deoxys""","""DNA Pokémon""",NULL,"""Mythical""",1.7,60.8,"""Psychic""",NULL
386,1391,"""Deoxys""","""DNA Pokémon""","""Attack""","""Mythical""",1.7,60.8,"""Psychic""",NULL
386,1392,"""Deoxys""","""DNA Pokémon""","""Defense""","""Mythical""",1.7,60.8,"""Psychic""",NULL
386,1393,"""Deoxys""","""DNA Pokémon""","""Speed""","""Mythical""",1.7,60.8,"""Psychic""",NULL
387,591,"""Turtwig""","""Tiny Leaf Pokémon""",NULL,NULL,0.4,10.2,"""Grass""",NULL
388,592,"""Grotle""","""Grove Pokémon""",NULL,NULL,1.1,97,"""Grass""",NULL
389,593,"""Torterra""","""Continent Pokémon""",NULL,NULL,2.2,310,"""Grass""","""Ground"""
390,34,"""Chimchar""","""Chimp Pokémon""",NULL,NULL,0.5,6.2,"""Fire""",NULL
391,35,"""Monferno""","""Playful Pokémon""",NULL,NULL,0.9,22,"""Fire""","""Fighting"""
392,19,"""Infernape""","""Flame Pokémon""",NULL,NULL,1.2,55,"""Fire""","""Fighting"""
393,594,"""Piplup""","""Penguin Pokémon""",NULL,NULL,0.4,5.2,"""Water""",NULL
394,595,"""Prinplup""","""Penguin Pokémon""",NULL,NULL,0.8,23,"""Water""",NULL
395,596,"""Empoleon""","""Emperor Pokémon""",NULL,NULL,1.7,84.5,"""Water""","""Steel"""
396,597,"""Starly""","""Starling Pokémon""",NULL,NULL,0.3,2,"""Normal""","""Flying"""
397,598,"""Staravia""","""Starling Pokémon""",NULL,NULL,0.6,15.5,"""Normal""","""Flying"""
398,599,"""Staraptor""","""Predator Pokémon""",NULL,NULL,1.2,24.9,"""Normal""","""Flying"""
399,600,"""Bidoof""","""Plump Mouse Pokémon""",NULL,NULL,0.5,20,"""Normal""",NULL
